question,answer,category
Какие документы нужны для поступления?,"Для поступления необходимы: 1) паспорт, 2) аттестат, 3) 4 фото 3×4, 4) медицинская справка 086/у, 5) СНИЛС (при наличии)",documents
Когда начинается прием документов?,"Прием документов начинается 20 июня и продолжается до 15 августа",dates
Какие ЕГЭ нужны на экономический факультет?,"На экономический факультет требуются: математика (профиль), русский язык и обществознание",exams
Есть ли общежитие для иногородних?,"Да, университет предоставляет общежитие для всех иногородних студентов. Заявку нужно подавать вместе с документами",campus
Какой проходной балл на юрфак?,"Проходной балл на юридический факультет в прошлом году составил 247. Актуальная информация будет известна после завершения приема",scores
Есть ли бюджетные места?,"Да, на всех факультетах выделено не менее 25% бюджетных мест от общего числа",finance
Можно ли подать документы онлайн?,"Да, через личный кабинет на нашем сайте или портал Госуслуг",documents
Когда будут известны результаты?,"Результаты зачисления публикуются 25 августа на официальном сайте",dates
Есть ли подготовительные курсы?,"Да, работают 6-месячные и 3-месячные подготовительные курсы. Подробнее на сайте в разделе «Довузовская подготовка»",preparation
Какие льготы у победителей олимпиад?,"Победители всероссийских олимпиад зачисляются без экзаменов при соответствии профиля олимпиады выбранной специальности",benefits
Как узнать расписание вступительных?,"Расписание размещено в разделе «Абитуриентам» на сайте университета. Также можно уточнить по телефону приемной комиссии",dates
Есть ли военная кафедра?,"Да, на технических факультетах действует военная кафедра с последующим присвоением звания",military
Как подать апелляцию?,"Апелляция подается в течение 2 дней после объявления результатов в письменной форме в приемную комиссию",appeals
Какие специальности самые популярные?,"Наиболее популярные направления: экономика, юриспруденция, компьютерные науки и международные отношения",popular
Есть ли отсрочка от армии?,"Да, все студенты очной формы обучения получают отсрочку от службы в армии",military
Можно ли перевестись с другого вуза?,"Да, перевод возможен после 1 курса при наличии свободных мест и соответствии программ",transfer
Какие языки преподают?,"Обязательный английский язык, дополнительно можно изучать немецкий, французский и китайский",languages
Есть ли программы двойного диплома?,"Да, у нас есть партнерские программы с университетами Германии и Франции",international
Какой срок действия у ЕГЭ?,"Результаты ЕГЭ действительны 4 года, включая год сдачи",exams
Где найти образец заявления?,"Образец заявления доступен для скачивания в личном кабинете абитуриента",documents
Какие минимальные баллы?,"Минимальные баллы: русский - 40, математика - 39, обществознание - 45. Полный список на сайте",scores
Есть ли стипендии?,"Да, академическая стипендия для бюджетников составляет 3000 руб., повышенная - до 15000 руб.",finance
Как получить социальную стипендию?,"Необходимо предоставить документы, подтверждающие льготный статус, в деканат в течение сентября",finance
Можно ли учиться дистанционно?,"Да, по некоторым направлениям доступна заочная форма с применением дистанционных технологий",format
Какие документы для целевого приема?,"Дополнительно требуется договор с организацией-заказчиком и направление от предприятия",documents
Когда день открытых дверей?,"Ближайший день открытых дверей - 15 апреля. Регистрация на сайте обязательна",events
Есть ли квоты для сирот?,"Да, 10% мест выделено для детей-сирот и инвалидов I-II группы",benefits
Как восстановиться после отчисления?,"Восстановление возможно в течение 5 лет после отчисления при наличии свободных мест",transfer
Какая стоимость обучения?,"Стоимость от 120 000 руб./год в зависимости от факультета. Точные цены уточняйте в приемной комиссии",finance
Есть ли магистратура?,"Да, по всем основным направлениям. Прием с дипломом бакалавра или специалиста",degrees
Как подать документы в несколько вузов?,"Можно подать копии документов в 5 вузов на 3 направления в каждом",rules
Какие творческие испытания?,"Для журналистики - эссе, для архитектуры - рисунок. Полный список на сайте",exams
Есть ли программы для иностранцев?,"Да, есть подготовительное отделение для иностранных граждан",international
Как узнать свои конкурсные баллы?,"После подачи документов баллы отображаются в вашем личном кабинете",scores
Можно ли изменить выбор специальности?,"Да, до 1 августа можно изменить приоритетность направлений",rules
Какие общежития?,"4 общежития корпусного типа с ремонтом. Стоимость 1500 руб./мес",campus
Есть ли бассейн в университете?,"Да, в спортивном комплексе университета есть 25-метровый бассейн",campus
Как получить налоговый вычет?,"После оплаты обучения предоставьте договор и платежные документы в налоговую",finance
Какие востребованные профессии?,"Наиболее востребованы: data scientist, юрист-международник, биоинженер",career
Есть ли столовая?,"Да, 3 столовых и кафетерий на территории кампуса",campus
Как поступить без ЕГЭ?,"Без ЕГЭ могут поступать иностранцы, победители олимпиад и обладатели дипломов СПО",rules
Какие дополнительные баллы?,"До 10 баллов за золотой значок ГТО, аттестат с отличием и волонтерство",benefits
Можно ли учиться бесплатно?,"Да, по конкурсу на бюджетные места или выиграв олимпиаду",finance
Как узнать очередь в общежитие?,"Рейтинг публикуется 20 августа на сайте в разделе «Общежития»",campus
Какие документы для инвалидов?,"Дополнительно требуется справка МСЭ и ИПРА",benefits
